10:14:38 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:14:38 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639678216_10060_1
10:14:38 | INFO | WebDriverManager:966                     | Using chromedriver 113.0.5672.63 (resolved driver for Chrome 113)
10:14:38 | INFO | WebDriverManager:1021                    | Exporting webdriver.chrome.driver as C:\Users\max_h\.cache\selenium\chromedriver\win32\113.0.5672.63\chromedriver.exe
10:14:41 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:14:41 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:14:41 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:14:41 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:14:41 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:14:41 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:14:41 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (1eb4a496a05f60466c0fd9f233d2dda9)
10:14:47 | INFO | ArtAbbys:22                              | Get title ', element -> By.xpath: //p[@class='header-white'][1]
10:14:49 | INFO | ArtAbbys:22                              | Get title ', element -> By.xpath: //p[@class='header-white'][2]
10:14:49 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (1eb4a496a05f60466c0fd9f233d2dda9)...
10:14:51 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 1148 ms
10:14:51 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:14:51 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639691053_10060_1
10:14:52 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:14:52 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:14:52 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:14:52 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:14:52 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:14:52 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:14:52 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (318280a45f9c5a024864f94b88e04793)
10:14:56 | INFO | AvatarAbbys:22                           | Get title ', element -> By.xpath: //h1[@class='title main-title']
10:14:59 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (318280a45f9c5a024864f94b88e04793)...
10:15:00 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 1158 ms
10:15:00 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:00 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639700432_10060_1
10:15:01 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:15:01 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:15:01 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:15:01 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:01 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:01 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:01 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (2ec5f24792e5157b561a915c4247faf4)
